,ID,RoomID,Huihe,RoundColor,StageShoot,Yanhu,ObjID,ObjName,ObjColor,ObjA1,ObjType,ObjKeep,ObjNum,ObjPass,TarID,TarUserID,TarName,TarColor,TarB0,TarType,TarHide,TarKeep,TarPass,TarStack,WeaponID,WeaponF1,WeaponName,Dist,EleDiff,AttackLevel,TarPos,TarHex,RandomNum1,Result1,RandomNum2,Diff,Result,Keep,Kills,TarLost,TarNum,Flag,UserRead,Title,Filename
0,1730,6,6,BLUE,1,0,13493,重型坦克,RED,1,2,0,3,0,13487,31,坦克,BLUE,4,2,0,0,1,0,69,5,车载导弹,13,-1,8,60053,0,8,2,10,0,2,6,0,2,1,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
1,1732,6,7,RED,0,0,13494,重型坦克,RED,1,2,0,3,0,13487,31,坦克,BLUE,4,2,0,6,0,0,37,11,中号直瞄炮,6,0,8,60053,0,3,1,8,0,1,7,1,1,0,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
2,1733,6,8,BLUE,0,0,13488,坦克,BLUE,1,2,0,3,0,13510,31,步兵小队,RED,0,1,0,0,0,0,36,11,大号直瞄炮,2,0,5,80048,51,5,0,8,0,0,8,0,0,3,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
3,1736,6,9,RED,0,0,13494,重型坦克,RED,1,2,0,3,0,13506,31,步兵小队,BLUE,0,1,0,0,0,0,37,11,中号直瞄炮,2,0,5,90050,51,5,0,4,0,0,9,0,0,3,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
4,1738,6,10,BLUE,0,0,13488,坦克,BLUE,1,2,0,3,0,13510,31,步兵小队,RED,0,1,0,8,0,0,36,11,大号直瞄炮,2,0,5,80048,51,4,0,4,0,0,10,0,0,2,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
5,1739,6,10,BLUE,1,0,13507,步兵小队,BLUE,0,1,0,3,0,13505,31,步兵小队,RED,0,1,0,0,0,0,29,12,人员轻武器,2,0,2,80047,51,7,0,6,0,0,0,0,0,3,0,|31|,推演室6,2018530145544 01-05-03-03-02 推演室6
6,1752,11,11,RED,0,0,13348,重型坦克,RED,1,2,0,3,0,13342,39,坦克,BLUE,4,2,0,0,0,0,37,11,中号直瞄炮,10,0,7,100056,54,9,2,8,0,2,11,0,2,1,0,|39|,推演室11,2018530151212 01-05-03-03-02 推演室11
7,1783,11,16,BLUE,0,0,13343,坦克,BLUE,1,2,0,3,0,13351,51,中型战车,RED,2,2,0,0,0,1,36,11,大号直瞄炮,11,0,8,110034,51,7,3,4,0,3,16,1,3,0,0,|51|,推演室11,2018530151212 01-05-03-03-02 推演室11
8,1786,11,16,BLUE,0,0,13342,坦克,BLUE,1,2,0,1,0,13349,51,重型坦克,RED,3,2,0,0,0,0,36,11,大号直瞄炮,13,0,7,90036,54,9,0,6,0,0,0,0,0,3,0,|51|,推演室11,2018530151212 01-05-03-03-02 推演室11
9,1772,11,14,BLUE,0,0,13343,坦克,BLUE,1,2,0,3,0,13348,51,重型坦克,RED,3,2,0,14,0,0,36,11,大号直瞄炮,10,0,8,110038,0,12,1,8,0,1,14,1,1,0,0,|51|,推演室11,2018530151212 01-05-03-03-02 推演室11
10,1792,11,17,RED,0,0,13349,重型坦克,RED,1,2,0,3,0,13342,39,坦克,BLUE,4,2,0,0,0,0,37,11,中号直瞄炮,12,0,5,140052,33,2,1,7,0,1,17,1,1,0,0,|39|,推演室11,2018530151212 01-05-03-03-02 推演室11
