,ID,Room,UserID,GameName,GameColor,ObjID,CityID,Army,ObjName,ObjDataID,ObjSup,ObjSon,ObjSonNum,ObjSpace,ObjFlag,ObjPos,ObjIco,ObjIcon,ObjType,ObjRot,ObjStep,ObjStepMax,ObjPass,ObjBlood,ObjBlood2,ObjKeep,ObjSee,ObjHide,ObjAim,ObjValue,ObjValue2,ObjTime,ObjDate,ObjMoney,ObjRound,ObjAttack,ObjRadar,ObjRes,ObjRes2,Slope,A0,B0,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,F0,F1,F2,F3,R1,R2,R3,R4,R5,S1,S2,S3,S4,S5,Wz,Title,WARID
0,57,9,30,qy,RED,13329,0,122,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,180,3,3,0,0,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13328,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室9,2018530151256
1,81,2,34,ymc,BLUE,13237,0,121,步兵小队,6,0,,0,0,BLUE,0,BIA-98,BIA98,1,60,3,3,0,3,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13236,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室2,201853015202
2,94,3,55,wxw,RED,13485,0,122,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,180,3,3,0,0,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13484,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室3,201853015400
3,100,6,50,zp,BLUE,13531,0,122,步兵小队,6,0,,0,0,BLUE,0,BIA-98,BIA98,1,0,3,3,0,2,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13530,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室6,201853015441
4,101,6,50,zp,BLUE,13529,0,121,步兵小队,6,0,,0,0,BLUE,0,BIA-98,BIA98,1,0,3,3,0,3,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13528,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室6,201853015441
5,102,6,44,xin,RED,13537,0,122,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,180,3,3,0,3,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13536,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室6,201853015441
6,103,6,44,xin,RED,13535,0,121,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,240,3,3,0,3,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13534,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室6,201853015441
7,109,12,38,y,RED,13363,0,121,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,180,3,3,0,0,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13362,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室12,2018530154848
8,117,2,34,ymc,RED,13604,0,122,步兵小队,1,0,,0,0,RED,0,PLA-98,PLA98,1,180,3,3,0,0,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13603,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室2,2018530155150
9,55,5,44,xin,BLUE,13273,0,121,步兵小队,6,0,,0,0,BLUE,0,BIA-98,BIA98,1,0,3,3,0,3,3,0,0,0,0,4,0,0,1900-01-01 00:00:00,13272,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室5,201853015938
