ID,Title,Flag,Num,Num2,Exe,UserID,ObjStepMax,Time1,Expired,Ditu,Moban,ScoreID,RoundTime,WaitTime,ShootTime,FireTime,AllTime,IsOK,MapID,Red,Blue,FirstColor,GridPX,GridMeter,mapY,mapX,GmapdiffX,MapDiffX,GmapZoom,WmapZoom,EleLow,EleDiv,CssFile,JmColor,JmResult,LogBak
1,推演室1,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 13:14:57,2018-05-30 13:44:57,83,1001,80048,90,10,30,10,30,1,2018530143055,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,,{},1
6,推演室6,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:25:44,2018-05-30 14:55:44,83,1001,80048,90,10,30,10,30,1,2018530145544,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
11,推演室11,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:42:11,2018-05-30 15:12:11,83,1001,80048,90,10,30,10,30,1,2018530151212,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
9,推演室9,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:42:55,2018-05-30 15:12:55,83,1001,80048,90,10,30,10,30,1,2018530151256,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
8,推演室8,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:44:35,2018-05-30 15:14:35,83,1001,80048,90,10,30,10,30,1,2018530151435,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
2,推演室2,"RED|红方,BLUE|蓝方",0,2,0,1,0,,,83,1001,80048,90,10,30,10,30,1,,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,,{},0
3,推演室3,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:09:59,2018-05-30 15:39:59,83,1001,80048,90,10,30,10,30,1,201853015400,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
6,推演室6,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:14:01,2018-05-30 15:44:01,83,1001,80048,90,10,30,10,30,1,201853015441,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
5,推演室5,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:16:39,2018-05-30 15:46:39,83,1001,80048,90,10,30,10,30,1,2018530154639,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
12,推演室12,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:18:47,2018-05-30 15:48:47,83,1001,80048,90,10,30,10,30,1,2018530154848,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
2,推演室2,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:21:49,2018-05-30 15:51:49,83,1001,80048,90,10,30,10,30,1,2018530155150,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
14,推演室14,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:26:24,2018-05-30 15:56:24,83,1001,80048,90,10,30,10,30,1,2018530155625,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
5,推演室5,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:39:37,2018-05-30 15:09:37,83,1001,80048,90,10,30,10,30,1,201853015938,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
9,推演室9,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 15:40:44,2018-05-30 16:10:44,83,1001,80048,90,10,30,10,30,1,2018530164933,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,RED,{},1
4,推演室4,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 14:37:14,2018-05-30 15:07:14,83,1001,80048,90,10,30,10,30,1,2018530165353,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,RED,{},1
2,推演室2,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:40:14,2018-05-30 17:10:14,83,1001,80048,90,10,30,10,30,1,2018530171015,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
5,推演室5,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:46:43,2018-05-30 17:16:43,83,1001,80048,90,10,30,10,30,1,2018530171645,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
11,推演室11,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:54:00,2018-05-30 17:24:00,83,1001,80048,90,10,30,10,30,1,201853017241,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
4,推演室4,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:54:46,2018-05-30 17:24:46,83,1001,80048,90,10,30,10,30,1,2018530172627,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
2,推演室2,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:58:12,2018-05-30 17:28:12,83,1001,80048,90,10,30,10,30,1,2018530172812,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
14,推演室14,"RED|红方,BLUE|蓝方",0,2,0,1,0,2018-05-30 16:59:09,2018-05-30 17:29:09,83,1001,80048,90,10,30,10,30,1,2018530172910,,,RED,52,200,38.541516,114.481957,0.001116,0.024724,15,13,90,10,9,BLUE,{},1
